epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.1053,0.88324,2.01022,1.088,0.38301,0.56098,0.47569,0.29767,1.1424,1.88808,1.21352,0.0003,0.0003,0.0003
2,24.7876,0.87257,0.87348,1.11353,0.65329,0.5976,0.62325,0.3774,1.3152,3.47028,1.92003,0.000607724,0.000607724,0.000607724
3,35.3068,0.88801,0.78428,1.11084,0,0,0,0,4.46638,5.83801,16.7513,0.000902776,0.000902776,0.000902776
4,45.4723,1.01331,0.84796,1.18102,0.24811,0.56098,0.26758,0.16169,1.57144,7.21147,2.99474,0.00118516,0.00118516,0.00118516
5,55.6274,0.99896,0.81396,1.18439,0.41136,0.68293,0.52486,0.28433,1.64309,13.2828,3.87406,0.00145486,0.00145486,0.00145486
6,65.6634,1.00158,0.89131,1.18745,0.52635,0.58537,0.51816,0.33849,1.6235,6.5471,2.24001,0.0017119,0.0017119,0.0017119
7,75.8727,0.97716,0.76688,1.15138,0.67236,0.63415,0.65407,0.41328,1.29108,4.03516,1.54218,0.0017624,0.0017624,0.0017624
8,86.2137,0.89275,0.74489,1.12378,0.33735,0.21951,0.15407,0.08453,1.98347,7.23803,1.86455,0.0017228,0.0017228,0.0017228
9,96.5434,0.86603,0.6628,1.09191,0.25659,0.29268,0.16212,0.07952,2.25584,3.26788,2.22632,0.0016832,0.0016832,0.0016832
10,106.89,0.86241,0.64898,1.11561,0.43779,0.19512,0.22695,0.12105,2.03479,3.66706,2.06082,0.0016436,0.0016436,0.0016436
11,117.292,0.82407,0.63842,1.07575,0.4899,0.41463,0.41798,0.28505,1.48807,3.39328,1.76509,0.001604,0.001604,0.001604
12,127.998,0.83715,0.63706,1.08516,0.739,0.56098,0.61566,0.39142,1.6673,1.74829,1.85557,0.0015644,0.0015644,0.0015644
13,138.213,0.79297,0.58216,1.06655,0.01974,0.02439,0.00177,0.00071,4.23363,6.31941,5.21839,0.0015248,0.0015248,0.0015248
14,148.732,0.7811,0.57531,1.05397,0.84217,0.92683,0.93419,0.67604,1.01022,1.76828,1.38441,0.0014852,0.0014852,0.0014852
15,159.296,0.78133,0.5803,1.05764,0.80174,0.80488,0.89676,0.63639,1.13104,0.94505,1.34572,0.0014456,0.0014456,0.0014456
16,170.252,0.81391,0.61096,1.09873,0.90117,0.95122,0.98124,0.69121,1.06623,1.02882,1.27656,0.001406,0.001406,0.001406
17,183.282,0.79259,0.56158,1.04167,0.85375,0.78049,0.88931,0.66716,0.99083,1.33741,1.26243,0.0013664,0.0013664,0.0013664
18,193.707,0.75184,0.54411,1.04349,0.9166,0.80417,0.85038,0.59234,1.00413,1.53896,1.28208,0.0013268,0.0013268,0.0013268
19,203.829,0.73235,0.53832,1.01085,0.82447,0.92683,0.91139,0.65874,0.99271,1.19374,1.32029,0.0012872,0.0012872,0.0012872
20,214.296,0.70675,0.51179,1.02678,0.88318,0.82927,0.91698,0.70266,0.99727,0.78232,1.33585,0.0012476,0.0012476,0.0012476
21,224.703,0.71001,0.49793,1.01958,0.81891,0.82927,0.88052,0.59076,1.13079,0.95141,1.45536,0.001208,0.001208,0.001208
22,235.004,0.72747,0.50589,1.03735,0.66197,0.78049,0.76113,0.53367,1.13614,2.18569,1.45017,0.0011684,0.0011684,0.0011684
23,245.609,0.68358,0.47193,0.99154,0.99817,0.95122,0.98122,0.68976,1.02346,1.0158,1.36162,0.0011288,0.0011288,0.0011288
24,255.797,0.67894,0.48138,0.99888,0.95332,0.99636,0.99189,0.79962,0.84043,0.56458,1.10452,0.0010892,0.0010892,0.0010892
25,266.379,0.6558,0.44333,0.98397,0.97336,0.97561,0.98457,0.80574,0.79454,0.48134,1.09061,0.0010496,0.0010496,0.0010496
26,276.837,0.62643,0.44414,0.98796,0.90431,0.95122,0.97533,0.81492,0.68823,0.4562,1.02653,0.00101,0.00101,0.00101
27,287.347,0.63445,0.42663,0.97351,0.96726,0.95122,0.97869,0.82907,0.73067,0.48336,1.02324,0.0009704,0.0009704,0.0009704
28,297.745,0.60868,0.41118,0.96488,0.94551,0.97561,0.97423,0.83368,0.70759,0.46,1.04424,0.0009308,0.0009308,0.0009308
29,308.224,0.59674,0.42694,0.97474,0.96544,1,0.99095,0.81436,0.83673,0.47081,1.17081,0.0008912,0.0008912,0.0008912
30,318.57,0.60388,0.42183,0.96909,0.95883,0.97561,0.99358,0.84649,0.70725,0.42289,1.03554,0.0008516,0.0008516,0.0008516
31,329.071,0.59802,0.40362,0.97705,0.94773,1,0.99123,0.83982,0.72574,0.441,1.03022,0.000812,0.000812,0.000812
32,339.341,0.56905,0.41491,0.95292,0.96538,1,0.99286,0.81741,0.76499,0.46463,1.0715,0.0007724,0.0007724,0.0007724
33,349.616,0.5788,0.38474,0.96084,0.96309,1,0.99095,0.81611,0.74937,0.44292,1.06397,0.0007328,0.0007328,0.0007328
34,360.072,0.53398,0.37564,0.9384,0.97542,0.96791,0.99193,0.83324,0.76416,0.40416,1.04295,0.0006932,0.0006932,0.0006932
35,370.36,0.57108,0.37692,0.95181,0.97302,0.97561,0.99358,0.80623,0.79352,0.41201,1.04093,0.0006536,0.0006536,0.0006536
36,380.7,0.51138,0.35258,0.91143,0.97865,0.97561,0.99364,0.83319,0.69571,0.40303,0.99819,0.000614,0.000614,0.000614
37,390.955,0.52832,0.35889,0.93976,0.95348,1,0.99285,0.82938,0.71391,0.41362,1.00569,0.0005744,0.0005744,0.0005744
38,401.214,0.49357,0.34633,0.91458,0.94918,1,0.99239,0.82417,0.72703,0.41586,1.02935,0.0005348,0.0005348,0.0005348
39,411.666,0.496,0.33316,0.91412,0.96243,1,0.99214,0.83654,0.69562,0.38703,1.02495,0.0004952,0.0004952,0.0004952
40,421.944,0.51005,0.32865,0.92405,0.97019,1,0.99405,0.83282,0.67829,0.36853,1.02356,0.0004556,0.0004556,0.0004556
41,434.586,0.43862,0.30227,0.88355,0.9761,0.99627,0.99286,0.82034,0.68639,0.37629,1.01695,0.000416,0.000416,0.000416
42,444.847,0.42645,0.28778,0.8728,0.95338,0.9976,0.99114,0.83742,0.69276,0.41165,1.02226,0.0003764,0.0003764,0.0003764
43,455.158,0.42031,0.27795,0.85229,0.95348,0.99989,0.9895,0.85434,0.66576,0.3784,1.02314,0.0003368,0.0003368,0.0003368
44,465.641,0.41583,0.27884,0.86038,0.91066,0.99453,0.98802,0.85277,0.69624,0.38287,1.03573,0.0002972,0.0002972,0.0002972
45,475.907,0.43082,0.29008,0.87573,0.92986,1,0.98983,0.85248,0.68558,0.38445,1.02172,0.0002576,0.0002576,0.0002576
46,486.265,0.40446,0.27527,0.8588,0.93089,0.98575,0.99143,0.8583,0.66787,0.37987,1.02233,0.000218,0.000218,0.000218
47,496.713,0.39362,0.26662,0.85819,0.92714,1,0.99143,0.85316,0.66131,0.38297,1.00254,0.0001784,0.0001784,0.0001784
48,507.015,0.38409,0.26516,0.85007,0.92328,1,0.99027,0.85606,0.67322,0.39278,1.00857,0.0001388,0.0001388,0.0001388
49,517.283,0.36909,0.25904,0.8413,0.92565,1,0.99068,0.85164,0.67002,0.37585,1.01465,9.92e-05,9.92e-05,9.92e-05
50,527.511,0.35227,0.24184,0.83456,0.97598,0.99119,0.99286,0.85563,0.66688,0.366,1.01278,5.96e-05,5.96e-05,5.96e-05
